id,timestamp,agent,rule,level,status,risk_score,correlation_score,correlation_type,recommended_priority,planned_status,planned_risk_score,planned_correlation_score,planned_correlation_type,planned_recommended_priority
3514,2026-05-17T19:02:32.943Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3515,2026-05-17T19:02:32.943Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3528,2026-05-17T19:02:35.391Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3529,2026-05-17T19:02:35.391Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3530,2026-05-17T19:02:35.391Z,atomicstar,Apparmor messages grouped.,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3531,2026-05-17T19:02:35.391Z,atomicstar,Apparmor DENIED,3,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3532,2026-05-17T19:02:37.153Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3533,2026-05-17T19:02:37.153Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3534,2026-05-17T19:02:41.403Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
3535,2026-05-17T19:02:41.403Z,atomicstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,RECON_TO_AUTH_CHAIN,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
4244,2026-05-17T19:14:06.888Z,darkstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,POSSIBLE_PERSISTENCE,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
4245,2026-05-17T19:14:06.888Z,darkstar,Systemd: Service exited due to a failure.,5,ESCALATED,100,100,POSSIBLE_PERSISTENCE,CRITICAL,TRIAGED,35,35,LEGACY_ESCALATION_NORMALIZED,LOW
