id,agent,level,old_risk_score,new_risk_score,old_correlation_score,new_correlation_score,old_priority,new_priority,old_status,new_status,changed_fields,matched_chain_count,cap,rule
1184,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1185,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1204,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1205,darkstar,3,75,25,75,25,HIGH,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,25,Successful sudo to ROOT executed.
1206,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1207,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1208,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1209,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1210,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1211,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,Systemd: Service exited due to a failure.
1212,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1213,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1214,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1215,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1216,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1217,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1218,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1219,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1220,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1221,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1222,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1223,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1224,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1225,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,sshd: authentication success.
1226,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1264,darkstar,5,55,35,55,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1265,darkstar,3,80,25,80,25,HIGH,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,25,Successful sudo to ROOT executed.
1266,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1269,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1270,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1271,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1272,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1273,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1274,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1275,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1276,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1303,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1304,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1305,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1306,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1307,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1308,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1309,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1310,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1311,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session opened.
1312,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,Successful sudo to ROOT executed.
1313,darkstar,3,100,25,100,25,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,25,PAM: Login session closed.
1333,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1334,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1335,darkstar,5,50,35,50,35,MEDIUM,LOW,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,35,Systemd: Service exited due to a failure.
1336,darkstar,7,95,55,95,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Integrity checksum changed.
1337,darkstar,5,90,35,90,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1338,darkstar,5,95,35,95,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1339,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1340,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1341,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1342,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1343,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Integrity checksum changed.
1344,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1345,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1346,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1347,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1348,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1349,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1350,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1351,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1352,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1353,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,File added to the system.
1354,darkstar,5,100,35,100,35,CRITICAL,LOW,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,35,Systemd: Service exited due to a failure.
1355,darkstar,7,65,55,65,55,HIGH,MEDIUM,NEW,NEW,"risk_score,correlation_score,recommended_priority",0,55,Host-based anomaly detection event (rootcheck).
1356,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1357,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1358,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1359,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1360,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1361,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1362,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1363,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1364,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1365,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
1366,darkstar,7,100,55,100,55,CRITICAL,MEDIUM,ESCALATED,TRIAGED,"risk_score,correlation_score,recommended_priority,status",0,55,Host-based anomaly detection event (rootcheck).
